N_P	N_H	Time
600.000	 400.000	 0.000
253.948	 665.659	 2.857
107.771	 711.937	 5.714
45.817	 674.362	 8.571
19.560	 608.463	 11.429
8.127	 538.329	 14.286
3.428	 470.813	 17.143
1.471	 409.658	 20.000
0.626	 355.957	 22.857
0.234	 308.749	 25.714
0.098	 267.885	 28.571
0.043	 232.192	 31.429
0.020	 201.104	 34.286
0.008	 174.206	 37.143
0.002	 151.204	 40.000
0.000	 131.188	 42.857
0.000	 113.769	 45.714
0.000	 98.635	 48.571
0.000	 85.509	 51.429
0.000	 74.139	 54.286
0.000	 64.403	 57.143
0.000	 55.992	 60.000
0.000	 48.511	 62.857
0.000	 42.003	 65.714
0.000	 36.475	 68.571
0.000	 31.624	 71.429
0.000	 27.435	 74.286
0.000	 23.846	 77.143
0.000	 20.644	 80.000
0.000	 17.820	 82.857
0.000	 15.423	 85.714
0.000	 13.399	 88.571
0.000	 11.552	 91.429
0.000	 10.065	 94.286
0.000	 8.749	 97.143
0.000	 7.568	 100.000
0.000	 6.512	 102.857
0.000	 5.676	 105.714
0.000	 4.895	 108.571
0.000	 4.242	 111.429
0.000	 3.703	 114.286
0.000	 3.174	 117.143
0.000	 2.725	 120.000
0.000	 2.399	 122.857
0.000	 2.058	 125.714
0.000	 1.757	 128.571
0.000	 1.493	 131.429
0.000	 1.299	 134.286
0.000	 1.112	 137.143
0.000	 0.970	 140.000
0.000	 0.845	 142.857
0.000	 0.724	 145.714
0.000	 0.618	 148.571
0.000	 0.525	 151.429
0.000	 0.453	 154.286
0.000	 0.387	 157.143
0.000	 0.339	 160.000
0.000	 0.294	 162.857
0.000	 0.260	 165.714
0.000	 0.218	 168.571
0.000	 0.189	 171.429
0.000	 0.165	 174.286
0.000	 0.137	 177.143
0.000	 0.115	 180.000
0.000	 0.098	 182.857
0.000	 0.090	 185.714
0.000	 0.075	 188.571
0.000	 0.063	 191.429
0.000	 0.056	 194.286
0.000	 0.047	 197.143
0.000	 0.040	 200.000
0.000	 0.038	 202.857
0.000	 0.027	 205.714
0.000	 0.019	 208.571
0.000	 0.014	 211.429
0.000	 0.011	 214.286
0.000	 0.008	 217.143
0.000	 0.007	 220.000
0.000	 0.006	 222.857
0.000	 0.006	 225.714
0.000	 0.004	 228.571
0.000	 0.002	 231.429
0.000	 0.002	 234.286
0.000	 0.002	 237.143
0.000	 0.002	 240.000
0.000	 0.002	 242.857
0.000	 0.002	 245.714
